"","Hospital Name","City","State","County Name","Heart Attack Mortality","Heart Attack Readmission","Heart Failure Mortality","Heart Failure Readmission","Pneumonia Mortality","Pneumonia Readmission"
"4237","VA SALT LAKE CITY HEALTHCARE - GEORGE E. WAHLEN VA MEDICAL CENTER","SALT LAKE CITY                ","UT","SALT LAKE","107","112","345","436","259","276"
"4238","ASHLEY VALLEY MEDICAL CENTER","VERNAL","UT","UINTAH","2","Not Available","33","38","69","67"
"4239","GARFIELD MEMORIAL HOSPITAL","PANGUITCH","UT","GARFIELD","4","3","8","10","37","34"
"4240","BEAVER VALLEY HOSPITAL","BEAVER","UT","BEAVER","9","7","23","23","65","69"
"4241","BEAR RIVER VALLEY HOSPITAL","TREMONTON","UT","BOX ELDER","3","3","14","21","24","28"
"4242","DAVIS HOSPITAL AND MEDICAL CENTER","LAYTON","UT","DAVIS","73","70","98","107","127","146"
"4243","LAKEVIEW HOSPITAL","BOUNTIFUL","UT","DAVIS","54","60","78","90","249","262"
"4244","OREM COMMUNITY HOSPITAL","OREM","UT","UTAH","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"4245","ALTA VIEW HOSPITAL","SANDY","UT","SALT LAKE","8","5","62","71","156","161"
"4246","ST MARKS HOSPITAL","SALT LAKE CITY","UT","SALT LAKE","128","123","253","292","406","431"
"4247","THE ORTHOPEDIC SPECIALTY HOSPITAL","MURRAY","UT","SALT LAKE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"4248","JORDAN VALLEY MEDICAL CENTER","WEST JORDAN","UT","SALT LAKE","90","87","164","190","194","207"
"4249","TIMPANOGOS REGIONAL HOSPITAL","OREM","UT","UTAH","50","47","53","54","67","75"
"4250","CACHE VALLEY SPECIALITY HOSPITAL","NORTH LOGAN","UT","CACHE","1","2","6","9","6","11"
"4251","PARK CITY MEDICAL CENTER","PARK CITY","UT","SUMMIT","Not Available","Not Available","6","12","3","7"
"4252","RIVERTON HOSPITAL","RIVERTON","UT","SALT LAKE","1","2","5","9","32","33"
"4253","DELTA COMMUNITY MEDICAL CENTER","DELTA","UT","MILLARD","1","1","14","15","14","15"
"4254","FILLMORE COMMUNITY MEDICAL CENTER","FILLMORE","UT","MILLARD","1","Not Available","3","3","10","9"
"4255","SANPETE VALLEY HOSPITAL - CAH","MOUNT PLEASANT","UT","SANPETE","2","1","6","6","41","46"
"4256","CENTRAL VALLEY MEDICAL CENTER - CAH","NEPHI","UT","JUAB","1","2","25","24","96","103"
"4257","GUNNISON VALLEY HOSPITAL","GUNNISON","UT","SANPETE","Not Available","Not Available","16","17","61","66"
"4258","HEBER VALLEY MEDICAL CENTER","HEBER CITY","UT","WASATCH","1","2","10","7","34","33"
"4259","KANE COUNTY HOSPITAL","KANAB","UT","KANE","Not Available","Not Available","2","5","33","32"
"4260","BLUE MOUNTAIN HOSPITAL","BLANDING","UT","SAN JUAN","1","1","4","5","18","22"
"4261","PRIMARY CHILDRENS MEDICAL CENTER","SALT LAKE CITY","UT","SALT LAKE","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"4262","CENTRAL VERMONT MEDICAL CENTER","BARRE","VT","WASHINGTON","54","23","162","177","327","347"
"4263","FLETCHER ALLEN HOSPITAL OF VERMONT","BURLINGTON","VT","CHITTENDEN","644","825","587","727","577","631"
"4264","RUTLAND REGIONAL MEDICAL CENTER","RUTLAND","VT","RUTLAND","148","95","251","287","472","490"
"4265","BRATTLEBORO MEMORIAL HOSPITAL","BRATTLEBORO","VT","WINDHAM","42","21","62","66","153","163"
"4266","SOUTHWESTERN VERMONT MEDICAL CENTER","BENNINGTON","VT","BENNINGTON","72","49","246","288","454","496"
"4267","WHITE RIVER JCT VA MEDICAL CENTER","WHITE RIVER JUNCTION          ","VT","WINDSOR","26","17","124","156","174","201"
"4268","NORTHWESTERN MEDICAL CENTER INC","SAINT ALBANS","VT","FRANKLIN","72","44","87","93","250","278"
"4269","GRACE COTTAGE HOSPITAL","TOWNSHEND","VT","WINDHAM","2","2","13","17","53","57"
"4270","GIFFORD MEDICAL CENTER","RANDOLPH","VT","ORANGE","33","21","91","106","138","143"
"4271","MT ASCUTNEY HOSPITAL","WINDSOR","VT","WINDSOR","2","Not Available","69","67","128","134"
"4272","NORTHEASTERN VERMONT REGIONAL HOSPITAL","SAINT JOHNSBURY","VT","CALEDONIA","50","26","74","81","133","126"
"4273","NORTH COUNTRY HOSPITAL AND HEALTH CENTER","NEWPORT","VT","ORLEANS","48","32","111","118","117","120"
"4274","COPLEY HOSPITAL","MORRISVILLE","VT","LAMOILLE","33","17","71","88","161","167"
"4275","SPRINGFIELD HOSPITAL","SPRINGFIELD","VT","WINDSOR","32","26","113","130","284","303"
"4276","PORTER HOSPITAL, INC","MIDDLEBURY","VT","ADDISON","20","17","69","79","266","288"
"4277","ROY LESTER SCHNEIDER HOSPITAL,THE","ST THOMAS","VI","SAINT THOMAS","26","26","102","119","93","89"
"4278","GOV JUAN F LUIS HOSPITAL & MEDICAL CTR","ST CROIX","VI","SAINT CROIX","43","33","79","104","77","75"
"4279","NORTON COMMUNITY HOSPITAL","NORTON","VA","NORTON CITY","28","10","97","111","194","222"
"4280","RUSSELL COUNTY MEDICAL CENTER","LEBANON","VA","RUSSELL","34","13","129","151","343","377"
"4281","ROCKINGHAM MEMORIAL HOSPITAL","HARRISONBURG","VA","HARRISONBURG CITY","380","395","792","974","637","692"
"4282","WINCHESTER MEDICAL CENTER INC","WINCHESTER","VA","WINCHESTER CITY","638","732","972","1224","895","939"
"4283","SENTARA NORFOLK GENERAL HOSPITAL","NORFOLK","VA","NORFOLK CITY","306","511","707","903","302","301"
"4284","UNIVERSITY OF VIRGINIA MEDICAL CENTER","CHARLOTTESVILLE","VA","CHARLOTTESVILLE CITY","396","520","533","671","319","373"
"4285","BON SECOURS - DEPAUL MEDICAL CENTER","NORFOLK","VA","NORFOLK CITY","171","152","338","380","193","191"
"4286","LEE REGIONAL MEDICAL CENTER","PENNINGTON GAP","VA","LEE","43","18","103","118","168","175"
"4287","HALIFAX REGIONAL HOSPITAL","HALIFAX","VA","HALIFAX","110","80","270","312","228","227"
"4288","BON SECOURS MARYVIEW MEDICAL CENTER","PORTSMOUTH","VA","PORTSMOUTH CITY","309","292","500","626","281","291"
"4289","AUGUSTA HEALTH","FISHERSVILLE","VA","AUGUSTA","270","232","565","651","452","477"
"4290","CULPEPER REGIONAL HOSPITAL","CULPEPER","VA","CULPEPER","41","37","175","186","259","266"
"4291","JOHN RANDOLPH MEDICAL CENTER","HOPEWELL","VA","HOPEWELL CITY","75","53","243","284","145","143"
"4292","CENTRA  HEALTH, INC","LYNCHBURG","VA","LYNCHBURG CITY","700","740","1217","1444","781","802"
"4293","MARY WASHINGTON HOSPITAL, INC","FREDERICKSBURG","VA","FREDERICKSBURG CITY","573","553","1009","1213","723","735"
"4294","THE FAUQUIER HOSPITAL, INC","WARRENTON","VA","FAUQUIER","78","60","263","311","301","335"
"4295","CARILION ROANOKE MEMORIAL CENTER","ROANOKE","VA","ROANOKE CITY","1147","1383","963","1221","689","724"
"4296","MOUNTAIN VIEW REGIONAL MEDICAL CENTER","NORTON","VA","NORTON CITY","38","22","112","133","93","96"
"4297","MEDICAL COLLEGE OF VIRGINIA HOSPITALS","RICHMOND","VA","RICHMOND CITY","200","242","262","362","129","153"
"4298","WARREN MEMORIAL HOSPITAL","FRONT ROYAL","VA","WARREN","24","19","111","128","140","150"
"4299","RIVERSIDE SHORE MEMORIAL HOSPITAL","NASSAWADOX","VA","NORTHAMPTON","62","36","196","219","237","243"
"4300","SMYTH COUNTY COMMUNITY HOSPITAL","MARION","VA","SMYTH","66","46","118","150","240","260"
"4301","INOVA ALEXANDRIA HOSPITAL","ALEXANDRIA","VA","ALEXANDRIA CITY","224","223","546","655","370","367"
"4302","MARY IMMACULATE HOSPITAL","NEWPORT NEWS","VA","NEWPORT NEWS CITY","137","108","303","332","243","244"
"4303","CARILION NEW RIVER VALLEY MEDICAL CENTER","CHRISTIANSBURG","VA","MONTGOMERY","87","59","265","293","286","310"
"4304","INOVA LOUDOUN HOSPITAL","LEESBURG","VA","LOUDOUN","133","130","338","400","329","342"
"4305","SENTARA OBICI HOSPITAL","SUFFOLK","VA","SUFFOLK CITY","149","116","506","587","326","318"
"4306","PRINCE WILLIAM HOSPITAL","MANASSAS","VA","MANASSAS CITY","120","109","204","259","291","326"
"4307","SENTARA LEIGH HOSPITAL","NORFOLK","VA","NORFOLK CITY","193","149","643","714","503","461"
"4308","LEWISGALE MEDICAL CENTER","SALEM","VA","SALEM","418","464","734","815","631","627"
"4309","VIRGINIA HOSPITAL CENTER - ARLINGTON","ARLINGTON","VA","ARLINGTON","182","180","395","453","431","464"
"4310","RIVERSIDE REGIONAL MEDICAL CENTER","NEWPORT NEWS","VA","NEWPORT NEWS CITY","337","389","516","622","320","337"
"4311","JOHNSTON MEMORIAL HOSPITAL","ABINGDON","VA","WASHINGTON","143","107","271","328","343","371"
"4312","SENTARA VIRGINIA BEACH GENERAL HOSPITAL","VIRGINIA BEACH","VA","VIRGINIA BEACH CITY","287","280","669","741","563","575"
"4313","BON SECOURS - ST MARYS HOSPITAL OF RICHMOND","RICHMOND","VA","HENRICO","302","329","605","725","406","447"
"4314","CLINCH VALLEY MEDICAL CENTER","RICHLANDS","VA","TAZEWELL","78","58","211","272","158","169"
"4315","INOVA FAIRFAX HOSPITAL","FALLS CHURCH","VA","FAIRFAX","771","907","1027","1226","636","653"
"4316","SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER","WILLIAMSBURG","VA","JAMES CITY","174","155","468","528","386","385"
"4317","SOUTHSIDE REGIONAL MEDICAL CENTER","PETERSBURG","VA","PETERSBURG CITY","296","265","554","648","369","370"
"4318","BON SECOURS - MEMORIAL REGIONAL MEDICAL","MECHANICSVILLE","VA","HANOVER","391","391","745","834","307","319"
"4319","HAMPTON VA MEDICAL CENTER","HAMPTON                       ","VA","HAMPTON CITY","12","12","108","128","64","70"
"4320","DANVILLE REGIONAL MEDICAL CENTER","DANVILLE","VA","DANVILLE CITY","215","175","487","582","383","378"
"4321","MARTHA JEFFERSON HOSPITAL","CHARLOTTESVILLE","VA","ALBEMARLE","287","262","463","610","581","638"
"4322","MEMORIAL HOSPITAL OF MARTINSVILLE & HENRY COUNTY","MARTINSVILLE","VA","HENRY","141","107","326","371","384","359"
"4323","RIVERSIDE TAPPAHANNOCK HOSPITAL","TAPPAHANNOCK","VA","ESSEX","69","44","128","168","104","104"
"4324","BEDFORD MEMORIAL HOSPITAL","BEDFORD","VA","Bedford City","20","16","98","119","140","128"
"4325","CARILION FRANKLIN MEMORIAL HOSPITAL","ROCKY MOUNT","VA","FRANKLIN","34","23","132","151","167","168"
"4326","SOUTHSIDE COMMUNITY HOSPITAL, INC","FARMVILLE","VA","PRINCE EDWARD","57","35","173","198","185","202"
"4327","SOUTHAMPTON MEMORIAL HOSPITAL","FRANKLIN","VA","FRANKLIN CITY","42","26","137","176","209","210"
"4328","SENTARA CAREPLEX HOSPITAL","HAMPTON","VA","HAMPTON CITY","176","134","421","491","397","394"
"4329","BON SECOURS - RICHMOND COMMUNITY HOSPITAL","RICHMOND","VA","RICHMOND CITY","3","1","36","43","23","24"
"4330","SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER","EMPORIA","VA","Emporia City","79","67","216","270","184","176"
"4331","COMMUNITY MEMORIAL HEALTHCENTER, INC","SOUTH HILL","VA","MECKLENBURG","120","82","302","339","184","167"
"4332","INOVA FAIR OAKS HOSPITAL","FAIRFAX","VA","FAIRFAX","65","56","279","350","314","334"
"4333","SOUTHWESTERN VIRGINIA MENTAL HEALTH INSTITUTE","MARION","VA","SMYTH","Not Available","Not Available","Not Available","Not Available","3","5"
"4334","WESTERN STATE HOSPITAL","STAUNTON","VA","STAUNTON CITY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"4335","RESTON HOSPITAL CENTER","RESTON","VA","FAIRFAX","77","67","254","315","256","270"
"4336","EASTERN STATE HOSPITAL","WILLIAMSBURG","VA","JAMES CITY","Not Available","Not Available","3","3","7","6"
"4337","RICHMOND VA MEDICAL CENTER","RICHMOND                      ","VA","RICHMOND CITY","119","144","330","430","272","301"
"4338","LEWISGALE HOSPITAL MONTGOMERY","BLACKSBURG","VA","MONTGOMERY","77","55","142","164","211","222"
"4339","WYTHE COUNTY COMMUNITY HOSPITAL","WYTHEVILLE","VA","WYTHE","61","48","147","179","205","230"
"4340","CJW MEDICAL CENTER","RICHMOND","VA","CHESTERFIELD","491","513","1020","1205","556","563"
"4341","SENTARA POTOMAC HOSPITAL","WOODBRIDGE","VA","PRINCE WILLIAM","131","110","358","435","235","236"
"4342","WELLMONT LONESOME PINE HOSPITAL","BIG STONE GAP","VA","WISE","77","63","103","140","100","101"
"4343","TWIN COUNTY REGIONAL HOSPITAL","GALAX","VA","GALAX CITY","64","30","248","260","409","412"
"4344","LEWISGALE HOSPITAL PULASKI","PULASKI","VA","PULASKI","100","67","166","202","225","240"
"4345","CARILION TAZEWELL COMMUNITY HOSPITAL","TAZEWELL","VA","TAZEWELL","29","22","72","93","87","88"
"4346","HENRICO DOCTORS' HOSPITAL","RICHMOND","VA","HENRICO","308","344","884","1009","564","573"
"4347","SENTARA PRINCESS ANNE HOSPITAL","VIRGINIA BEACH","VA","VIRGINIA BEACH CITY","103","75","280","324","264","267"
"4348","SALEM VA MEDICAL CENTER","SALEM                         ","VA","SALEM","77","68","242","301","309","346"
"4349","CHESAPEAKE REGIONAL MEDICAL CENTER","CHESAPEAKE","VA","CHESAPEAKE CITY","273","229","612","738","576","576"
"4350","INOVA MOUNT VERNON HOSPITAL","ALEXANDRIA","VA","FAIRFAX","94","74","330","384","212","219"
"4351","RAPPAHANNOCK GENERAL HOSPITAL","KILMARNOCK","VA","LANCASTER","36","23","91","103","187","172"
"4352","LEWISGALE HOSPITAL ALLEGHANY","LOW MOOR","VA","ALLEGHANY","45","23","212","253","233","254"
"4353","BUCHANAN GENERAL HOSPITAL","GRUNDY","VA","BUCHANAN","36","22","89","103","135","150"
"4354","RIVERSIDE WALTER REED HOSPITAL","GLOUCESTER","VA","GLOUCESTER","103","57","219","245","250","267"
"4355","PIEDMONT GERIATRIC HOSPITAL","BURKEVILLE","VA","NOTTOWAY","Not Available","Not Available","Not Available","Not Available","Not Available","1"
"4356","BON SECOURS - ST FRANCIS MEDICAL CENTER","MIDLOTHIAN","VA","CHESTERFIELD","138","113","344","421","173","175"
"4357","STAFFORD HOSPITAL, LLC","STAFFORD","VA","STAFFORD","31","21","85","99","79","85"
"4358","SPOTSYLVANIA REGIONAL MEDICAL CENTER","FREDERICKSBURG","VA","SPOTSYLVANIA","21","17","34","42","40","43"
"4359","BATH COUNTY COMMUNITY HOSPITAL","HOT SPRINGS","VA","BATH","5","Not Available","44","56","72","83"
"4360","CARILION GILES COMMUNITY HOSPITAL","PEARISBURG","VA","GILES","36","31","110","137","144","147"
"4361","DICKENSON COMMUNITY HOSPITAL","CLINTWOOD","VA","DICKENSON","Not Available","Not Available","Not Available","1","2","2"
"4362","CARILION STONEWALL JACKSON HOSPITAL","LEXINGTON","VA","LEXINGTON CITY","65","34","122","121","105","100"
"4363","SHENANDOAH MEMORIAL HOSPITAL","WOODSTOCK","VA","SHENANDOAH","24","17","86","106","225","241"
"4364","PIONEER HEALTH SERVICES OF PATRICK COUNTY,INC","STUART","VA","PATRICK","5","6","24","31","87","78"
"4365","PAGE MEMORIAL HOSPITAL, INC","LURAY","VA","PAGE","13","13","76","91","117","109"
"4366","NORTHWEST HOSPITAL","SEATTLE","WA","KING","156","138","386","439","339","355"
"4367","PROVIDENCE ST MARY MEDICAL CENTER","WALLA WALLA","WA","WALLA WALLA","66","48","119","133","165","178"
"4368","SKAGIT VALLEY HOSPITAL","MOUNT VERNON","WA","SKAGIT","177","173","269","306","354","365"
"4369","VIRGINIA MASON MEDICAL CENTER","SEATTLE","WA","KING","138","180","297","373","255","275"
"4370","ISLAND HOSPITAL","ANACORTES","WA","SKAGIT","36","29","98","111","204","199"
"4371","UNIVERSITY OF WASHINGTON MEDICAL CTR","SEATTLE","WA","KING","81","103","180","247","109","137"
"4372","HIGHLINE MEDICAL CENTER","BURIEN","WA","KING","90","68","236","277","285","303"
"4373","YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER","YAKIMA","WA","YAKIMA","250","276","250","345","167","176"
"4374","PROVIDENCE REGIONAL MEDICAL CENTER EVERETT","EVERETT","WA","SNOHOMISH","423","485","459","567","275","303"
"4375","AUBURN REGIONAL MEDICAL CENTER","AUBURN","WA","KING","104","95","264","327","313","319"
"4376","CENTRAL WASHINGTON HOSPITAL","WENATCHEE","WA","CHELAN","202","216","284","353","291","288"
"4377","PROVIDENCE CENTRALIA HOSPITAL","CENTRALIA","WA","LEWIS","74","46","230","273","225","235"
"4378","SAINT CLARE HOSPITAL","LAKEWOOD","WA","PIERCE","85","56","216","261","235","260"
"4379","PROVIDENCE ST PETER HOSPITAL","OLYMPIA","WA","THURSTON","491","559","523","641","396","417"
"4380","SWEDISH MEDICAL CENTER/CHERRY HILL","SEATTLE","WA","KING","321","379","502","647","44","47"
"4381","SWEDISH EDMONDS HOSPITAL","EDMONDS","WA","SNOHOMISH","170","153","202","221","287","288"
"4382","SWEDISH MEDICAL CENTER","SEATTLE","WA","KING","37","30","289","339","625","650"
"4383","PEACEHEALTH ST JOSEPH MEDICAL CENTER","BELLINGHAM","WA","WHATCOM","360","407","416","498","571","584"
"4384","GRAYS HARBOR COMMUNITY HOSPITAL","ABERDEEN","WA","GRAYS HARBOR","71","32","384","540","207","233"
"4385","SAMARITAN HOSPITAL","MOSES LAKE","WA","GRANT","24","14","76","90","153","158"
"4386","YAKIMA VALLEY MEMORIAL HOSPITAL","YAKIMA","WA","YAKIMA","243","226","475","558","514","539"
"4387","TOPPENISH COMMUNITY HOSPITAL","TOPPENISH","WA","YAKIMA","15","16","43","65","50","48"
"4388","HARRISON MEDICAL CENTER","BREMERTON","WA","KITSAP","403","425","542","641","571","595"
"4389","PEACHEALTH ST JOHN MEDICAL CENTER","LONGVIEW","WA","COWLITZ","127","103","237","280","298","332"
"4390","DEACONESS HOSPITAL","SPOKANE","WA","SPOKANE","287","325","336","441","299","307"
"4391","WALLA WALLA GENERAL HOSPITAL","WALLA WALLA","WA","WALLA WALLA","19","17","65","75","58","67"
"4392","PEACEHEALTH SOUTHWEST MEDICAL CENTER","VANCOUVER","WA","CLARK","386","378","457","576","370","387"
"4393","OVERLAKE HOSPITAL MEDICAL CENTER","BELLEVUE","WA","KING","221","245","466","549","397","440"
"4394","GROUP HEALTH CENTRAL HOSPITAL","SEATTLE","WA","KING","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"4395","KENNEWICK GENERAL HOSPITAL","KENNEWICK","WA","BENTON","70","49","199","246","265","269"
"4396","PROVIDENCE SACRED HEART MEDICAL CENTER","SPOKANE","WA","SPOKANE","671","769","633","793","478","484"
"4397","KADLEC REGIONAL MEDICAL CENTER","RICHLAND","WA","BENTON","336","379","376","434","303","323"
"4398","CASCADE VALLEY HOSPITAL","ARLINGTON","WA","SNOHOMISH","16","11","37","51","102","108"
"4399","HARBORVIEW MEDICAL CENTER","SEATTLE","WA","KING","57","54","90","130","102","113"
"4400","OLYMPIC MEDICAL CENTER","PORT ANGELES","WA","CLALLAM","116","73","238","273","410","400"
"4401","PROVIDENCE HOLY FAMILY HOSPITAL","SPOKANE","WA","SPOKANE","182","144","273","306","350","357"
"4402","MULTICARE GOOD SAMARITAN HOSPITAL","PUYALLUP","WA","PIERCE","313","260","498","578","514","535"
"4403","VALLEY GENERAL HOSPITAL","MONROE","WA","SNOHOMISH","5","8","40","53","67","75"
"4404","VALLEY MEDICAL CENTER","RENTON","WA","KING","231","212","431","526","481","495"
"4405","ST JOSEPH MEDICAL CENTER","TACOMA","WA","PIERCE","344","397","460","576","263","275"
"4406","VALLEY HOSPITAL","SPOKANE","WA","SPOKANE","55","36","198","230","272","295"
"4407","SPOKANE VA MEDICAL CENTER","SPOKANE                       ","WA","SPOKANE","16","10","118","134","91","102"
"4408","EVERGREEN HOSPITAL MEDICAL CENTER","KIRKLAND","WA","KING","223","223","309","397","281","309"
"4409","TACOMA GENERAL ALLENMORE HOSPITAL","TACOMA","WA","PIERCE","258","265","469","541","301","313"
"4410","CAPITAL MEDICAL CENTER","OLYMPIA","WA","THURSTON","52","41","103","111","125","129"
"4411","WALLA WALLA VA MEDICAL CENTER","WALLA WALLA                   ","WA","WALLA WALLA","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"4412","ST FRANCIS COMMUNITY HOSPITAL","FEDERAL WAY","WA","KING","108","93","282","339","234","236"
"4413","WENATCHEE VALLEY HOSPITAL","WENATCHEE","WA","CHELAN","1","Not Available","8","8","28","27"
"4414","LEGACY SALMON CREEK MEDICAL CENTER","VANCOUVER","WA","CLARK","72","67","242","300","247","267"
"4415","ST ANTHONY HOSPITAL","GIG HARBOR","WA","PIERCE","53","39","157","199","202","211"
"4416","SWEDISH ISSAQUAH","ISSAQUAH","WA","KING","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"4417","SEATTLE VA MEDICAL CENTER (VA PUGIT SOUND HEALTHCARE SYSTEM)","SEATTLE                       ","WA","KING","93","135","265","313","192","217"
"4418","GARFIELD COUNTY MEMORIAL HOSPITAL","POMEROY","WA","GARFIELD","1","1","5","4","21","23"
"4419","DAYTON GENERAL HOSPITAL","DAYTON","WA","COLUMBIA","4","4","11","10","22","24"
"4420","MARK REED HOSPITAL & HEALTHCARE CLINIC","MCCLEARY","WA","GRAYS HARBOR","Not Available","Not Available","1","1","15","18"
"4421","LINCOLN HOSPITAL","DAVENPORT","WA","LINCOLN","7","2","46","48","93","93"
"4422","ODESSA MEMORIAL HOSPITAL","ODESSA","WA","LINCOLN","2","1","4","6","7","6"
"4423","COULEE COMMUNITY HOSPITAL","GRAND COULEE","WA","GRANT","3","3","21","27","30","32"
"4424","PROVIDENCE ST JOSEPH HOSPITAL","CHEWELAH","WA","STEVENS","2","2","27","32","109","120"
"4425","NEWPORT COMMUNITY HOSPITAL","NEWPORT","WA","PEND OREILLE","1","Not Available","27","28","84","85"
"4426","EAST ADAMS RURAL HOSPITAL","RITZVILLE","WA","ADAMS","1","1","17","23","27","33"
"4427","PROSSER MEMORIAL HOSPITAL","PROSSER","WA","BENTON","5","3","22","24","39","36"
"4428","CASCADE MEDICAL CENTER","LEAVENWORTH","WA","CHELAN","Not Available","Not Available","15","17","24","23"
"4429","OCEAN BEACH HOSPITAL","ILWACO","WA","PACIFIC","12","19","31","35","71","75"
"4430","SKYLINE HOSPITAL","WHITE SALMON","WA","KLICKITAT","4","5","28","34","52","51"
"4431","KLICKITAT VALLEY HOSPITAL","GOLDENDALE","WA","KLICKITAT","11","15","23","26","39","40"
"4432","OTHELLO COMMUNITY HOSPITAL","OTHELLO","WA","ADAMS","4","2","25","29","40","47"
"4433","MORTON GENERAL HOSPITAL","MORTON","WA","LEWIS","8","4","16","18","24","31"
"4434","NORTH VALLEY HOSPITAL","TONASKET","WA","OKANOGAN","8","6","18","28","46","50"
"4435","FERRY COUNTY MEMORIAL HOSPITAL","REPUBLIC","WA","FERRY","2","Not Available","6","6","28","34"
"4436","JEFFERSON HEALTHCARE HOSPITAL","PORT TOWNSEND","WA","JEFFERSON","26","14","78","108","149","157"
"4437","OKANOGAN-DOUGLAS DISTRICT HOSPITAL","BREWSTER","WA","OKANOGAN","4","5","11","11","34","35"
"4438","FORKS COMMUNITY HOSPITAL","FORKS","WA","CLALLAM","8","4","11","10","32","34"
"4439","PROVIDENCE MOUNT CARMEL HOSPITAL","COLVILLE","WA","STEVENS","16","11","86","104","153","165"
"4440","WHITMAN HOSPITAL AND MEDICAL CENTER","COLFAX","WA","WHITMAN","18","13","56","68","112","111"
"4441","MID VALLEY HOSPITAL","OMAK","WA","OKANOGAN","8","7","33","37","79","81"
"4442","UNITED GENERAL HOSPITAL","SEDRO WOOLLEY","WA","SKAGIT","11","9","51","59","102","110"
"4443","SUNNYSIDE COMMUNITY HOSPITAL","SUNNYSIDE","WA","YAKIMA","12","9","50","59","82","89"
"4444","PULLMAN REGIONAL HOSPITAL","PULLMAN","WA","WHITMAN","16","9","30","32","76","79"
"4445","TRI-STATE MEMORIAL HOSPITAL","CLARKSTON","WA","ASOTIN","11","8","67","71","157","151"
"4446","KITTITAS VALLEY COMMUNITY HOSPITAL","ELLENSBURG","WA","KITTITAS","6","3","74","82","115","133"
"4447","LAKE CHELAN COMMUNITY HOSPITAL","CHELAN","WA","CHELAN","2","2","15","20","29","31"
"4448","ST ELIZABETH HOSPITAL","ENUMCLAW","WA","KING","10","9","60","66","87","92"
"4449","MASON GENERAL HOSPITAL & FAMILY OF CLINICS","SHELTON","WA","MASON","23","5","67","85","193","202"
"4450","LOURDES MEDICAL CENTER","PASCO","WA","FRANKLIN","9","7","47","59","99","101"
"4451","SNOQUALMIE VALLEY HOSPITAL","SNOQUALMIE","WA","KING","5","4","12","14","29","31"
"4452","WHIDBEY GENERAL HOSPITAL","COUPEVILLE","WA","ISLAND","21","13","92","125","147","175"
"4453","SEATTLE CHILDREN'S HOSPITAL","SEATTLE","WA","KING","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"4454","WEST VIRGINIA UNIVERSITY HOSPITALS","MORGANTOWN","WV","MONONGALIA","301","386","243","350","257","316"
"4455","GREENBRIER VALLEY MEDICAL CENTER","RONCEVERTE","WV","GREENBRIER","50","26","190","207","382","391"
"4456","UNITED HOSPITAL CENTER","BRIDGEPORT","WV","HARRISON","317","262","415","495","639","651"
"4457","ST MARY'S MEDICAL CENTER","HUNTINGTON","WV","CABELL","532","577","650","742","709","739"
"4458","CITY HOSPITAL","MARTINSBURG","WV","BERKELEY","166","93","236","278","282","289"
"4459","PLEASANT VALLEY HOSPITAL","POINT PLEASANT","WV","MASON","46","31","151","181","202","218"
"4460","REYNOLDS MEMORIAL HOSPITAL","GLEN DALE","WV","MARSHALL","64","46","145","178","163","161"
"4461","JACKSON GENERAL HOSPITAL","RIPLEY","WV","JACKSON","27","14","133","164","212","223"
"4462","CHARLESTON AREA MEDICAL CENTER","CHARLESTON","WV","KANAWHA","899","1104","873","1128","861","947"
"4463","WEIRTON MEDICAL CENTER","WEIRTON","WV","HANCOCK","61","44","248","300","444","478"
"4464","MONONGALIA COUNTY GENERAL HOSPITAL","MORGANTOWN","WV","MONONGALIA","304","333","379","453","178","196"
"4465","THOMAS MEMORIAL HOSPITAL","SOUTH CHARLESTON","WV","KANAWHA","176","132","309","371","479","493"
"4466","BECKLEY VA MEDICAL CENTER","BECKLEY                       ","WV","RALEIGH","23","14","135","148","393","449"
"4467","DAVIS MEMORIAL HOSPITAL","ELKINS","WV","RANDOLPH","70","65","202","248","250","284"
"4468","ST FRANCIS HOSPITAL","CHARLESTON","WV","KANAWHA","57","54","98","129","132","132"
"4469","STONEWALL JACKSON MEM HOSP","WESTON","WV","LEWIS","44","18","101","125","195","205"
"4470","OHIO VALLEY MEDICAL CENTER","WHEELING","WV","OHIO","54","45","123","152","149","179"
"4471","CLARKSBURG VA MEDICAL CENTER","CLARKSBURG                    ","WV","HARRISON","57","54","194","231","322","345"
"4472","PRINCETON COMMUNITY HOSPITAL","PRINCETON","WV","MERCER","139","91","317","416","397","426"
"4473","FAIRMONT GENERAL HOSPITAL","FAIRMONT","WV","MARION","104","85","349","424","303","316"
"4474","LOGAN REGIONAL MEDICAL CENTER","LOGAN","WV","LOGAN","52","30","191","240","327","354"
"4475","HUNTINGTON VA MEDICAL CENTER","HUNTINGTON                    ","WV","WAYNE","63","67","215","295","354","402"
